13:02:47.417763 1.0 Mb/s 2422 MHz 11b -80dB signal antenna 3 314us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
13:02:47.457077 1.0 Mb/s 2437 MHz 11b -84dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:47.459542 1.0 Mb/s 2437 MHz 11b -84dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:47.517391 1.0 Mb/s 2452 MHz 11b -87dB signal antenna 3 304us Probe Response (WiFiRSU_f6) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 9, PRIVACY
13:02:47.561607 1.0 Mb/s 2462 MHz 11b -84dB signal antenna 3 314us Probe Response (ATT856) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:02:49.973835 6.0 Mb/s 5785 MHz 11a -85dB signal antenna 3 0us Beacon (GIEDI PRIME) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
13:02:49.974670 6.0 Mb/s 5785 MHz 11a -86dB signal antenna 3 60us Probe Response (GIEDI PRIME) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
13:02:50.232422 1.0 Mb/s 2412 MHz 11b -84dB signal antenna 3 314us Probe Response (LDSAccess) [1.0* 2.0 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
13:02:50.241029 1.0 Mb/s 2412 MHz 11b -85dB signal antenna 3 Retry 314us Probe Response (DVW3201B60) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:50.268558 1.0 Mb/s 2417 MHz 11b -78dB signal antenna 3 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:50.270109 1.0 Mb/s 2417 MHz 11b -82dB signal antenna 3 Retry 314us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
13:02:50.275726 1.0 Mb/s 2417 MHz 11b -81dB signal antenna 3 Retry 314us Probe Response (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:50.345490 1.0 Mb/s 2437 MHz 11b -75dB signal antenna 3 314us Probe Response (Millstm) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:50.379335 1.0 Mb/s 2452 MHz 11b -84dB signal antenna 3 304us Probe Response (WiFiRSU_f6) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 9, PRIVACY
13:02:50.381664 1.0 Mb/s 2452 MHz 11b -83dB signal antenna 3 304us Probe Response (WiFiRSU_f6) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 9, PRIVACY
13:02:50.384161 1.0 Mb/s 2452 MHz 11b -83dB signal antenna 3 304us Probe Response (WiFiRSU_f6) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 9, PRIVACY
13:02:50.429630 1.0 Mb/s 2462 MHz 11b -85dB signal antenna 3 Retry 314us Probe Response (ATT632) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:02:50.432045 1.0 Mb/s 2462 MHz 11b -86dB signal antenna 3 Retry 314us Probe Response (ATT632) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:02:50.456085 1.0 Mb/s 2462 MHz 11b -86dB signal antenna 3 0us Beacon (ATT072) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:02:53.196910 1.0 Mb/s 2412 MHz 11b -77dB signal antenna 3 314us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
13:02:53.209058 1.0 Mb/s 2417 MHz 11b -75dB signal antenna 3 314us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
13:02:53.221121 1.0 Mb/s 2417 MHz 11b -78dB signal antenna 3 0us Beacon (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] ESS CH: 2, PRIVACY
13:02:53.243969 1.0 Mb/s 2422 MHz 11b -80dB signal antenna 3 314us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
13:02:53.245569 1.0 Mb/s 2422 MHz 11b -79dB signal antenna 3 Retry 314us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
13:02:53.295866 1.0 Mb/s 2432 MHz 11b -74dB signal antenna 3 0us Beacon (Millstm) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:53.307258 1.0 Mb/s 2437 MHz 11b -72dB signal antenna 3 314us Probe Response (Millstm) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:53.309990 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:53.312328 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:53.365462 1.0 Mb/s 2452 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_f6) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 9, PRIVACY
13:02:53.369911 1.0 Mb/s 2452 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_f6) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 9, PRIVACY
