PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -74, 0, 21, 233, 2, 000002552ee171d5, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -83, 0, 12, 233, 2, 000002552ee17b6f, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 90:b1:34:e6:87:40, ff:ff:ff:ff:ff:ff, 90:b1:34:e6:87:40, 12, -76, 0, 19, 239, 2, 000002552ee1c183, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:14:7c:36:7e:5c, ff:ff:ff:ff:ff:ff, 00:14:7c:36:7e:5c, 12, -87, 0, 8, 109, 2, 000004d60be16037, , 1, 2, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -69, 0, 26, 233, 2, 000001dfcdf4ceb1, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:20:00:0b:6f:31, ff:ff:ff:ff:ff:ff, 02:30:db:e6:0e:d1, 12, -77, 0, 18, 70, 2, 000005cd3f4445de, print server 0B6F31, 2, 11, 0, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, dc:45:17:b4:6a:30, ff:ff:ff:ff:ff:ff, dc:45:17:b4:6a:30, 12, -75, 0, 20, 239, 2, 0000003755fdc183, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, dc:45:17:b4:6a:30, 10:0b:a9:7b:23:c0, dc:45:17:b4:6a:30, 22, -76, 0, 19, 233, 2, 0000003755fdcd90, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:38:85:5e, 10:0b:a9:7b:23:c0, 00:1f:33:38:85:5e, 22, -85, 0, 10, 64, 2, 000004d61129ced8, Bill, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:14:7c:8a:a8:bd, ff:ff:ff:ff:ff:ff, 00:14:7c:8a:a8:bd, 12, -87, 0, 8, 109, 2, 00000371ee542037, , 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:15:6d:fa:c5:57, ff:ff:ff:ff:ff:ff, 00:15:6d:fa:c5:57, 12, -78, 0, 17, 383, 12, 00000002603bec36, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:15:6d:fa:c5:57, 10:0b:a9:7b:23:c0, 00:15:6d:fa:c5:57, 22, -80, 0, 15, 337, 12, 00000002603a939d, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -73, 0, 22, 233, 2, 000002552f0cc1ba, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, a0:21:b7:72:c8:a8, 10:0b:a9:7b:23:c0, a0:21:b7:72:c8:a8, 22, -75, 0, 20, 375, 2, 00000076ab67bd4d, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:17:3f:7e:4b:4c, ff:ff:ff:ff:ff:ff, 00:17:3f:7e:4b:4c, 12, -89, 0, 6, 112, 2, 000001096144a177, Carole Network, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, a0:21:b7:72:c8:a8, ff:ff:ff:ff:ff:ff, a0:21:b7:72:c8:a8, 12, -76, 0, 19, 268, 2, 00000076ab68218c, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 90:b1:34:e6:87:40, ff:ff:ff:ff:ff:ff, 90:b1:34:e6:87:40, 12, -76, 0, 19, 239, 2, 000002552f0d8183, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, b8:e6:25:02:55:ba, 10:0b:a9:7b:23:c0, b8:e6:25:02:55:ba, 22, -75, 0, 20, 241, 2, 000000da4a0d4c16, ATT790, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, c4:3d:c7:70:b0:4e, 10:0b:a9:7b:23:c0, c4:3d:c7:70:b0:4e, 22, -78, 0, 17, 376, 2, 000000dc4284b10f, Robertson, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 7c:bf:b1:6e:bf:20, ff:ff:ff:ff:ff:ff, 7c:bf:b1:6e:bf:20, 12, -78, 0, 17, 239, 2, 000001dfce208183, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -79, 0, 16, 233, 2, 000001dfce208a6b, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, dc:45:17:b4:6a:30, ff:ff:ff:ff:ff:ff, dc:45:17:b4:6a:30, 12, -77, 0, 18, 239, 2, 0000003756298183, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:37:66:44, 10:0b:a9:7b:23:c0, 00:1f:33:37:66:44, 22, -78, 0, 17, 66, 2, 000004d60d3d62cc, taylor, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:38:85:5e, 10:0b:a9:7b:23:c0, 00:1f:33:38:85:5e, 22, -83, 0, 12, 64, 2, 000004d611559ac1, Bill, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, d8:c7:c8:5c:2c:f0, ff:ff:ff:ff:ff:ff, d8:c7:c8:5c:2c:f0, 12, -88, 0, 7, 245, 2, 0000008e1779e5f2, kcmsdguest, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:1f:33:37:66:44, ff:ff:ff:ff:ff:ff, 00:1f:33:37:66:44, 12, -76, 0, 19, 72, 2, 000004d60d3dd181, taylor, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:15:6d:fa:c5:57, ff:ff:ff:ff:ff:ff, 00:15:6d:fa:c5:57, 12, -81, 0, 14, 383, 12, 0000000260679c36, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:15:6d:fa:c5:57, 10:0b:a9:7b:23:c0, 00:15:6d:fa:c5:57, 22, -82, 0, 13, 337, 12, 00000002606643a0, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -79, 0, 16, 233, 2, 000002552f387ba4, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:14:7c:4c:98:ae, ff:ff:ff:ff:ff:ff, 00:14:7c:4c:98:ae, 12, -86, 0, 9, 109, 2, 000004d60ae76037, , 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:17:9a:2c:61:a0, ff:ff:ff:ff:ff:ff, 00:17:9a:2c:61:a0, 12, -84, 0, 11, 140, 2, 000004c3237b3180, dlink, 1, 1, 0, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, a0:21:b7:72:c8:a8, ff:ff:ff:ff:ff:ff, a0:21:b7:72:c8:a8, 12, -79, 0, 16, 268, 2, 00000076ab93e185, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, dc:45:17:b4:6a:30, 10:0b:a9:7b:23:c0, dc:45:17:b4:6a:30, 22, -72, 0, 23, 233, 2, 000000375654f50c, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:37:66:44, 10:0b:a9:7b:23:c0, 00:1f:33:37:66:44, 22, -77, 0, 18, 66, 2, 000004d60d68beec, taylor, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:20:00:0b:6f:31, ff:ff:ff:ff:ff:ff, 02:30:db:e6:0e:d1, 12, -85, 0, 10, 70, 2, 000005cd3f9bc393, print server 0B6F31, 2, 11, 0, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, dc:45:17:b4:6a:30, ff:ff:ff:ff:ff:ff, dc:45:17:b4:6a:30, 12, -82, 0, 13, 239, 2, 0000003756554183, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:15:6d:fa:c5:57, ff:ff:ff:ff:ff:ff, 00:15:6d:fa:c5:57, 12, -79, 0, 16, 383, 12, 0000000260934c36, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:15:6d:fa:c5:57, 10:0b:a9:7b:23:c0, 00:15:6d:fa:c5:57, 22, -79, 0, 16, 337, 12, 000000026091f497, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, a0:21:b7:72:c8:a8, 10:0b:a9:7b:23:c0, a0:21:b7:72:c8:a8, 22, -82, 0, 13, 375, 2, 00000076abbf1013, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, b8:e6:25:02:55:ba, 10:0b:a9:7b:23:c0, b8:e6:25:02:55:ba, 22, -74, 0, 21, 241, 2, 000000da4a645741, ATT790, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -74, 0, 21, 233, 2, 000001dfce7764f2, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 7c:bf:b1:6e:bf:20, ff:ff:ff:ff:ff:ff, 7c:bf:b1:6e:bf:20, 12, -78, 0, 17, 239, 2, 000001dfce780183, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, dc:45:17:b4:6a:30, 10:0b:a9:7b:23:c0, dc:45:17:b4:6a:30, 22, -76, 0, 19, 233, 2, 000000375680aa9c, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:37:66:44, 10:0b:a9:7b:23:c0, 00:1f:33:37:66:44, 22, -81, 0, 14, 66, 2, 000004d60d9474e6, taylor, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:20:00:0b:6f:31, ff:ff:ff:ff:ff:ff, 02:30:db:e6:0e:d1, 12, -86, 0, 9, 70, 2, 000005cd3fc78248, print server 0B6F31, 2, 11, 0, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, dc:45:17:b4:6a:30, ff:ff:ff:ff:ff:ff, dc:45:17:b4:6a:30, 12, -75, 0, 20, 239, 2, 0000003756810183, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:15:6d:fa:c5:57, ff:ff:ff:ff:ff:ff, 00:15:6d:fa:c5:57, 12, -79, 0, 16, 383, 12, 0000000260bf2c36, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:15:6d:fa:c5:57, 10:0b:a9:7b:23:c0, 00:15:6d:fa:c5:57, 22, -79, 0, 16, 337, 12, 0000000260bdd701, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -76, 0, 19, 233, 2, 000002552f9002c0, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, a0:21:b7:72:c8:a8, 10:0b:a9:7b:23:c0, a0:21:b7:72:c8:a8, 22, -76, 0, 19, 375, 2, 00000076abeafe2b, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:17:9a:2c:61:a0, ff:ff:ff:ff:ff:ff, 00:17:9a:2c:61:a0, 12, -86, 0, 9, 140, 2, 000004c323d2b180, dlink, 1, 1, 0, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, a0:21:b7:72:c8:a8, ff:ff:ff:ff:ff:ff, a0:21:b7:72:c8:a8, 12, -75, 0, 20, 268, 2, 00000076abeb618e, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:15:6d:fa:c5:57, ff:ff:ff:ff:ff:ff, 00:15:6d:fa:c5:57, 12, -81, 0, 14, 383, 12, 0000000260eadc36, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -75, 0, 20, 233, 2, 000002552fbbb242, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, a0:21:b7:72:c8:a8, 10:0b:a9:7b:23:c0, a0:21:b7:72:c8:a8, 22, -82, 0, 13, 375, 2, 00000076ac16a90f, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:14:7c:4c:98:ae, ff:ff:ff:ff:ff:ff, 00:14:7c:4c:98:ae, 12, -85, 0, 10, 109, 2, 000004d60b6aa037, , 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:17:9a:2c:61:a0, ff:ff:ff:ff:ff:ff, 00:17:9a:2c:61:a0, 12, -84, 0, 11, 140, 2, 000004c323fe7180, dlink, 1, 1, 0, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -74, 0, 21, 233, 2, 000001dfcecf45f4, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, b8:e6:25:02:55:ba, 10:0b:a9:7b:23:c0, b8:e6:25:02:55:ba, 22, -74, 0, 21, 241, 2, 000000da4abc4b84, ATT790, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 7c:bf:b1:6e:bf:20, ff:ff:ff:ff:ff:ff, 7c:bf:b1:6e:bf:20, 12, -74, 0, 21, 239, 2, 000001dfcecf8183, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -77, 0, 18, 233, 2, 000001dfcecfc4e7, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:14:7c:aa:29:07, ff:ff:ff:ff:ff:ff, 00:14:7c:aa:29:07, 12, -91, 0, 4, 109, 2, 000004d60b1af037, , 1, 10, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, dc:45:17:b4:6a:30, 10:0b:a9:7b:23:c0, dc:45:17:b4:6a:30, 22, -77, 0, 18, 233, 2, 0000003756d8eea6, ATT776, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, d8:c7:c8:5c:2c:f1, 10:0b:a9:7b:23:c0, d8:c7:c8:5c:2c:f1, 22, -86, 0, 9, 73, 2, 0000008e18291498, kcmsdwireless, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:1f:33:37:66:44, ff:ff:ff:ff:ff:ff, 00:1f:33:37:66:44, 12, -79, 0, 16, 72, 2, 000004d60decd181, taylor, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:15:6d:fa:c5:57, ff:ff:ff:ff:ff:ff, 00:15:6d:fa:c5:57, 12, -78, 0, 17, 383, 12, 0000000261183c36, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:15:6d:fa:c5:57, 10:0b:a9:7b:23:c0, 00:15:6d:fa:c5:57, 22, -78, 0, 17, 337, 12, 000000026116e3e3, ctcco.com.Sheraton-BTH, 1, 44, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:15:6d:fe:d2:f5, ff:ff:ff:ff:ff:ff, 00:15:6d:fe:d2:f5, 12, -89, 0, 6, 355, 12, 0000045e1c26aede, ctcco.com.HytE, 1, 165, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, a0:21:b7:72:c8:a8, 10:0b:a9:7b:23:c0, a0:21:b7:72:c8:a8, 22, -78, 0, 17, 375, 2, 00000076ac4397cd, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, b8:e6:25:02:55:ba, 10:0b:a9:7b:23:c0, b8:e6:25:02:55:ba, 22, -70, 0, 25, 241, 2, 000000da4ae8e359, ATT790, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -71, 0, 24, 233, 2, 000001dfcefbf114, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
