12:49:55.877192 1.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:55.880470 1.0 Mb/s 2412 MHz 11b -71dB signal antenna 3 Retry 314us Probe Response (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:55.881849 1.0 Mb/s 2412 MHz 11b -73dB signal antenna 3 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:55.887943 1.0 Mb/s 2412 MHz 11b -83dB signal antenna 3 0us Beacon (ATT272) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
12:49:55.947831 1.0 Mb/s 2422 MHz 11b -71dB signal antenna 3 0us Beacon (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
12:49:55.973893 1.0 Mb/s 2432 MHz 11b -69dB signal antenna 3 Retry 314us Probe Response (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:55.983725 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 314us Probe Response (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:55.986319 1.0 Mb/s 2437 MHz 11b -82dB signal antenna 3 Retry 314us Probe Response (ATT790) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:56.061267 1.0 Mb/s 2457 MHz 11b -68dB signal antenna 3 Retry 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:56.063686 1.0 Mb/s 2457 MHz 11b -67dB signal antenna 3 Retry 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:56.093603 1.0 Mb/s 2462 MHz 11b -61dB signal antenna 3 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:56.095762 1.0 Mb/s 2462 MHz 11b -60dB signal antenna 3 0us Beacon (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:49:56.096831 1.0 Mb/s 2462 MHz 11b -75dB signal antenna 3 314us Probe Response (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:58.866858 1.0 Mb/s 2412 MHz 11b -59dB signal antenna 3 Retry 314us Probe Response (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:58.869262 1.0 Mb/s 2412 MHz 11b -62dB signal antenna 3 Retry 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:58.870670 1.0 Mb/s 2412 MHz 11b -72dB signal antenna 3 Retry 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:58.906403 1.0 Mb/s 2417 MHz 11b -63dB signal antenna 3 Retry 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:58.911239 1.0 Mb/s 2417 MHz 11b -63dB signal antenna 3 Retry 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:58.917180 1.0 Mb/s 2417 MHz 11b -63dB signal antenna 3 0us Beacon (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
12:49:58.933886 1.0 Mb/s 2422 MHz 11b -69dB signal antenna 3 0us Beacon (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
12:49:58.958988 1.0 Mb/s 2432 MHz 11b -74dB signal antenna 3 314us Probe Response (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:58.971207 1.0 Mb/s 2437 MHz 11b -73dB signal antenna 3 314us Probe Response (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:58.975876 1.0 Mb/s 2437 MHz 11b -85dB signal antenna 3 Retry 314us Probe Response (Robertson) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:58.987418 1.0 Mb/s 2437 MHz 11b -86dB signal antenna 3 0us Beacon (Robertson) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:49:58.993890 1.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 0us Beacon (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:49:59.033696 1.0 Mb/s 2452 MHz 11b -72dB signal antenna 3 0us Beacon (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
12:49:59.042813 1.0 Mb/s 2457 MHz 11b -59dB signal antenna 3 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:59.055548 1.0 Mb/s 2462 MHz 11b -56dB signal antenna 3 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:59.056722 1.0 Mb/s 2462 MHz 11b -69dB signal antenna 3 314us Probe Response (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:59.058113 1.0 Mb/s 2462 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (taylor) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:59.064996 1.0 Mb/s 2462 MHz 11b -58dB signal antenna 3 0us Beacon (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:50:01.824895 1.0 Mb/s 2412 MHz 11b -55dB signal antenna 3 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:50:01.826378 1.0 Mb/s 2412 MHz 11b -81dB signal antenna 3 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:50:01.828790 1.0 Mb/s 2412 MHz 11b -86dB signal antenna 3 314us Probe Response (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:50:01.830133 1.0 Mb/s 2412 MHz 11b -78dB signal antenna 3 Retry 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:50:01.835973 1.0 Mb/s 2412 MHz 11b -85dB signal antenna 3 Retry 314us Probe Response (ATT272) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
